-BEGIN HEADER-,,,,,,,,,,,San Francisco
2017,4,19,6.85,7.45,7.42,2.06,0.68,1.73,0.34,16.16,125.66
2017,4,20,7.67,10.47,7.71,1.01,0.76,1.93,0.39,17.75,138.81
2017,4,21,7.67,10.06,7.75,1.05,0.76,2.17,0.43,17.81,138.5
2017,4,22,4.62,2.23,7.54,3.34,0.45,1.59,0.31,12.36,89.61
2017,4,23,7.51,8.64,7.75,1.91,0.73,2.02,0.41,17.77,137.99
2017,4,24,3.85,1.32,7.33,2.95,0.38,1.32,0.27,10.97,76.85
2017,4,25,5.98,3.5,7.5,3.63,0.58,1.94,0.38,15.52,115.49
2017,4,26,3.34,1.31,7.38,2.52,0.32,1.24,0.25,9.83,68.33
2017,4,27,7.2,7.01,7.79,2.43,0.69,2.2,0.43,17.66,134.81
2017,4,28,8.09,10.74,8.19,1.18,0.77,2.33,0.46,18.81,145.63
2017,4,29,8.15,11.65,8.16,0.7,0.77,2.45,0.48,19.07,147.75
2017,4,30,8,11.3,8,0.74,0.76,2.52,0.49,19.11,147.99
2017,5,1,7.86,10.96,8.03,0.94,0.74,-999,0.47,18.8,145.62
2017,5,2,7.87,10.58,7.91,0.84,0.74,2.45,0.48,19.29,148.43
2017,5,3,7.53,8.55,7.87,1.81,0.7,2.25,0.45,18.39,141.56
2017,5,4,5.85,4.97,7.81,2.47,0.55,1.84,0.37,14.92,111.65
2017,5,5,7.11,6.99,8.06,2.14,0.66,2.11,0.41,17.38,132.05
2017,5,6,6.74,6.17,7.86,2.54,0.62,1.6,0.32,15.81,121.84
2017,5,7,7.75,8.78,7.87,1.42,0.72,1.69,0.34,18.31,142.45
2017,5,8,7.46,7.75,7.99,2.09,0.69,1.9,0.38,17.87,137.84
2017,5,9,8.2,9.78,8.31,1.33,0.75,2.19,0.44,19.26,148.69
2017,5,10,5.43,3.18,8.07,3.18,0.5,1.64,0.33,14.08,102.82
2017,5,11,6.22,4.65,8.05,2.79,0.57,1.87,0.38,15.9,118.11
2017,5,12,8.47,11.71,8.54,0.8,0.77,2.23,0.45,20.08,154.52
2017,5,13,8.46,11.71,8.5,0.75,0.77,2.09,0.42,20.07,154.8
2017,5,14,7.8,8.69,8.39,1.87,0.7,1.95,0.39,18.73,143.08
2017,5,15,7.96,9.1,8.36,1.59,0.72,1.86,0.38,19,146.01
2017,5,16,5.04,2.39,8.04,3.43,0.45,1.47,0.29,13.7,98.98
2017,5,17,8.52,11.13,8.62,1.05,0.77,2.17,0.44,20.05,154.57
2017,5,18,8.58,11.76,8.61,0.77,0.77,2.21,0.45,20.3,156.57
2017,5,19,8.55,11.79,8.57,0.76,0.77,2.21,0.45,20.24,156.62
2017,5,20,7.73,7.84,8.49,2.44,0.69,2.1,0.42,18.62,142.48
2017,5,21,6.85,6.41,8.61,2.57,0.61,1.91,0.38,16.97,127.17
2017,5,22,6.08,4.92,8.49,2.62,0.54,1.77,0.36,15.38,114.42
2017,5,23,5.92,4.23,8.41,2.86,0.52,1.77,0.35,14.89,111.21
2017,5,24,4.74,2.69,8.28,2.78,0.42,1.51,0.3,12.46,90.09
2017,5,25,5.09,2.6,8.51,3.31,0.45,1.63,0.33,13.69,98.38
2017,5,26,4.76,2.2,8.36,3.39,0.42,1.46,0.29,12.81,92.56
2017,5,27,7.11,6.82,8.34,2.12,0.62,1.95,0.39,17.34,132.03
2017,5,28,4.83,3.32,8.35,2.39,0.42,1.52,0.3,12.78,93.05
2017,5,29,4.5,2.41,8.38,2.77,0.4,1.42,0.29,12,86.77
2017,5,30,5.59,2.32,8.42,3.89,0.49,1.66,0.34,14.57,106.55
2017,5,31,7.69,8.08,8.38,1.8,0.67,2.31,0.46,19.45,146.93
2017,6,1,6.89,6.06,8.59,2.85,0.6,2.09,0.41,17.48,130.35
2017,6,2,8.42,10.06,8.71,1.39,0.73,2.4,0.48,20.23,155.2
2017,6,3,7.31,7.45,8.67,2.06,0.64,2.26,0.45,18.23,136.88
2017,6,4,8.8,11.39,8.91,1.05,0.77,2.48,0.49,20.91,160.49
2017,6,5,8.61,10.32,8.87,1.46,0.75,2.35,0.47,20.55,157.32
2017,6,6,6.59,5.88,8.78,2.55,0.57,2.04,0.41,16.7,123.58
2017,6,7,5.47,2.39,8.42,3.76,0.48,1.88,0.38,14.47,105.23
2017,6,8,3.14,1.12,8.29,2.36,0.27,1.31,0.27,9.73,66.08
2017,6,9,7.52,7.63,8.72,2.15,0.66,2.35,0.47,18.67,140.65
2017,6,10,8.68,11.19,8.8,1.16,0.75,2.55,0.51,20.98,160.98
2017,6,11,8.41,10,8.8,1.46,0.73,2.31,0.46,20.43,155.66
2017,6,12,7.71,8.43,8.72,1.92,0.66,1.9,0.38,18.72,142.34
2017,6,13,8.58,11.05,8.66,1.09,0.74,2.27,0.45,20.73,159.86
2017,6,14,8.67,11.68,8.85,0.97,0.75,-999,0.48,20.8,160.09
2017,6,15,7.94,9.17,8.59,1.65,0.69,2.41,0.48,19.97,151.41
2017,6,16,7.9,8.9,8.49,1.96,0.68,2.53,0.5,20.07,152.45
2017,6,17,8.35,10.2,8.54,1.22,0.72,2.65,0.52,20.95,159.61
2017,6,18,8.44,10.99,8.53,0.94,0.73,2.66,0.52,20.99,160.77
2017,6,19,7.37,6.61,8.28,2.75,0.64,2.4,0.48,18.42,141.58
2017,6,20,8.01,8.21,8.56,2.2,0.7,2.52,0.5,19.6,150.12
2017,6,21,7.59,7.74,8.56,2.12,0.66,2.51,0.49,19.01,143.76
2017,6,22,7.91,8.06,8.39,2.12,0.69,2.55,0.5,19.15,148.11
2017,6,23,6.36,4.88,8.49,2.88,0.55,2.25,0.45,16.51,122.8
2017,6,24,5.98,3.22,8.23,3.72,0.52,2.16,0.43,15.63,116.7
2017,6,25,6.26,4.64,8.61,3.07,0.54,2.26,0.45,16.2,119.95
2017,6,26,7.81,8.25,8.73,2.05,0.68,2.7,0.52,19.37,146.19
2017,6,27,6.68,5.08,8.79,3.07,0.58,2.42,0.48,17.34,127.3
2017,6,28,5.63,4.58,8.86,2.45,0.49,2.06,0.41,14.95,107.61
2017,6,29,5.65,4.36,8.88,2.49,0.49,2.05,0.41,15.06,108.32
2017,6,30,6.45,5.27,8.76,2.72,0.56,2.23,0.44,16.55,121.99
2017,7,1,6.37,4.95,8.68,2.83,0.55,2.18,0.43,16.54,121.74
2017,7,2,5.92,4.03,8.58,2.97,0.52,2.04,0.41,15.71,114.59
2017,7,3,6.47,5.05,8.53,2.62,0.56,2.16,0.43,16.59,123.09
2017,7,4,6.36,4.74,8.63,2.84,0.55,2.2,0.44,16.59,121.77
2017,7,5,6.79,5.89,8.41,2.72,0.59,2.27,0.45,17.21,129.34
2017,7,6,7.36,7.6,8.48,2.36,0.64,2.52,0.49,18.59,140.84
2017,7,7,8.44,10.95,8.67,1.08,0.74,-999,0.53,20.57,157.5
2017,7,8,7.67,7.99,8.41,2.29,0.67,2.55,0.5,18.94,144.99
2017,7,9,6.94,6.84,8.54,2.33,0.61,2.32,0.45,17.17,129.82
2017,7,10,7.01,6.59,8.6,2.81,0.62,2.34,0.46,17.73,133.26
2017,7,11,8.34,10.26,8.65,1.47,0.73,2.67,0.52,20.43,155.48
2017,7,12,6.29,5.08,8.54,2.8,0.55,2.18,0.43,16.53,121.43
2017,7,13,6.35,5.32,8.38,2.69,0.56,2.12,0.42,16.15,120.96
2017,7,14,6.47,5.34,8.42,2.8,0.57,2.21,0.44,16.44,122.69
2017,7,15,7.8,8.66,8.36,1.84,0.69,2.65,0.52,19.2,146.67
2017,7,16,8.6,11.94,8.63,0.68,0.77,2.9,0.56,21.03,160.39
2017,7,17,8.3,10.56,8.57,1.47,0.74,2.78,0.54,20.2,154.52
2017,7,18,7.08,7.91,8.67,1.85,0.63,2.42,0.48,17.49,130.88
2017,7,19,8.21,9.5,8.52,1.6,0.73,2.74,0.53,19.86,151.61
2017,7,20,7.32,7.94,8.45,1.96,0.66,2.53,0.49,18.28,137.49
2017,7,21,8.38,10.81,8.52,1.1,0.75,2.8,0.54,20.19,154.67
2017,7,22,7.61,8.37,8.34,1.87,0.69,2.53,0.49,18.44,141.06
2017,7,23,6.78,5.43,8.22,3.04,0.61,2.36,0.46,17.23,129.37
2017,7,24,5.64,4.51,8.17,2.43,0.51,1.95,0.39,14.84,108.87
2017,7,25,6.91,5.79,8.13,2.6,0.62,2.18,0.43,17.54,131.75
2017,7,26,6.11,4.75,8.17,2.67,0.55,2,0.4,15.73,116.6
2017,7,27,6.34,5.72,8.19,2.55,0.58,2.1,0.41,16.26,121.29
2017,7,28,6.32,6.13,8.3,2.41,0.58,2.12,0.42,16.06,119.66
2017,7,29,5.5,4.49,8.38,2.39,0.51,1.93,0.38,14.42,104.64
2017,7,30,6.07,4.48,8.23,2.9,0.56,2.07,0.41,15.71,115.83
2017,7,31,6.18,4.69,8.23,2.87,0.57,2.04,0.41,15.48,115.43
2017,8,1,7.1,5.77,7.89,2.94,0.66,2.3,0.45,17.16,132.23
2017,8,2,5.92,4.41,7.53,2.77,0.55,1.98,0.39,14.51,111.48
2017,8,3,3.81,1.48,7.01,2.83,0.35,1.27,0.25,9.87,75
2017,8,4,3.84,2.53,7.1,2.24,0.36,1.31,0.27,9.99,75.53
2017,8,5,5.66,3.98,7.36,2.87,0.53,1.97,0.39,14.6,110.77
2017,8,6,5.53,4.21,7.64,2.59,0.52,2.02,0.4,14.62,108.1
2017,8,7,5.91,4.67,7.69,2.6,0.55,2.12,0.41,15.38,114.1
2017,8,8,4.93,3.56,7.58,2.48,0.47,1.74,0.34,13.2,96.91
2017,8,9,4.12,2.52,7.5,2.34,0.39,1.47,0.29,11.35,81.91
2017,8,10,4.76,3.16,7.67,2.48,0.45,1.64,0.33,12.73,92.47
2017,8,11,5.12,3.81,7.62,2.52,0.49,1.68,0.34,13.54,99.44
2017,8,12,5.06,3.97,7.69,2.45,0.48,1.61,0.32,13.22,96.9
2017,8,13,5.55,4.32,7.62,2.68,0.54,1.8,0.36,14.63,107.83
2017,8,14,3.92,2.4,7.7,2.36,0.38,1.41,0.28,11.01,76.88
2017,8,15,4.6,2.85,7.54,2.61,0.45,1.55,0.31,12.38,89.16
2017,8,16,5.81,4.44,7.32,2.58,0.57,-999,0.35,14.4,109.63
2017,8,17,6.2,5.63,7.07,2.28,0.61,1.79,0.36,15.04,116.93
2017,8,18,5.3,3.57,7.13,2.79,0.52,1.64,0.33,13.39,101.3
2017,8,19,4.56,2.77,7.13,2.59,0.45,1.52,0.3,11.82,87.75
2017,8,20,5.15,3.55,7.03,2.6,0.52,1.64,0.33,13.02,98.38
2017,8,21,4.88,3.06,6.85,2.81,0.49,1.47,0.29,12.35,94.36
2017,8,22,5.99,5.19,6.97,2.39,0.6,1.79,0.36,14.82,113.99
2017,8,23,4.29,2.99,7,2.18,0.44,1.41,0.28,11.34,83.41
2017,8,24,5.39,4.09,7.24,2.75,0.55,1.72,0.34,13.6,102.04
2017,8,25,5.32,4.36,7.36,2.46,0.55,1.73,0.34,13.48,99.93
2017,8,26,6.52,6.89,7.25,2.32,0.67,2.02,0.4,15.98,122.19
2017,8,27,5.85,5.51,7.1,2.48,0.6,1.92,0.38,14.77,111.77
2017,8,28,5.17,5.01,7.14,2,0.54,1.73,0.34,13.23,98.7
2017,8,29,4.81,3.95,7.01,2.26,0.5,1.57,0.31,12.38,91.98
2017,8,30,6.23,6.26,7.22,2.3,0.66,1.79,0.36,14.98,114.48
2017,8,31,6.71,7.66,7.12,1.87,0.71,1.83,0.36,15.68,121.98
2017,9,1,6.19,6.88,6.24,1.59,0.66,1.62,0.32,13.93,113.57
2017,9,2,6,6.36,6.09,1.76,0.64,1.49,0.3,12.92,107.73
2017,9,3,4.15,2.3,5.56,2.6,0.45,1.1,0.22,9.02,75.7
2017,9,4,2.83,1.2,5.8,2.11,0.3,0.87,0.17,7.1,55.24
2017,9,5,5.63,5.55,6.33,2,0.61,1.82,0.36,13.95,108.41
2017,9,6,4.5,3,6.36,2.62,0.49,1.49,0.3,11.8,88.14
2017,9,7,2.99,1.58,6.22,1.95,0.33,1.05,0.2,8.36,59.52
2017,9,8,3.64,2.64,6.37,1.87,0.41,1.16,0.23,9.69,71.05
2017,9,9,4.12,2.96,6.28,2.19,0.46,1.21,0.24,10.68,79.74
2017,9,10,5.97,7.02,6.08,1.43,0.67,1.49,0.3,13.81,111.07
2017,9,11,4.78,3.46,5.96,2.27,0.54,1.41,0.28,11.98,91.98
2017,9,12,4.72,4.09,6.04,2.11,0.54,1.4,0.27,11.9,91.48
2017,9,13,2.9,1.58,6.05,1.94,0.33,0.97,0.2,8.13,58.13
2017,9,14,5.5,5.9,6.24,1.88,0.63,1.48,0.3,13.13,102.2
2017,9,15,6.25,7.72,6.52,1.55,0.73,1.59,0.31,14.64,114.04
2017,9,16,4.68,3.39,6.06,2.57,0.55,1.25,0.25,11.46,87.71
2017,9,17,6,7.3,6.17,1.46,0.7,1.38,0.28,13.75,109.35
2017,9,18,4.45,3.16,6.05,2.49,0.52,1.29,0.25,11.56,86.22
2017,9,19,6.11,9.11,6.14,0.85,0.73,1.55,0.31,14.5,114.45
2017,9,20,3.89,2.05,5.98,2.7,0.47,1.22,0.24,10.59,76.62
2017,9,21,6.1,9.18,6.18,0.93,0.74,1.45,0.29,14.13,111.76
2017,9,22,5.92,8.6,6.01,1.02,0.73,1.27,0.26,13.78,109.24
2017,9,23,6.1,9.77,6.07,0.61,0.75,1.35,0.27,14.01,111.49
2017,9,24,5.95,8.79,6.01,1,0.74,1.36,0.27,13.63,108.42
2017,9,25,5.78,8.92,5.77,0.76,0.73,1.35,0.27,13.42,107.43
2017,9,26,5.87,9.43,5.85,0.64,0.74,1.42,0.29,13.59,108.32
2017,9,27,5.87,9.58,5.85,0.6,0.75,1.37,0.27,13.41,107.24
2017,9,28,4.95,5.66,5.73,1.79,0.63,1.27,0.25,11.76,91.62
2017,9,29,3.65,3.37,5.51,1.77,0.47,1.07,0.21,9.45,70.45
2017,9,30,5.61,8.64,5.65,0.89,0.73,1.32,0.27,12.69,102.05
2017,10,1,5.63,8.49,5.69,0.96,0.74,1.34,0.27,12.75,102.16
2017,10,2,5.81,10.06,5.79,0.59,0.77,1.38,0.27,12.93,103.89
2017,10,3,5.52,8.62,5.56,0.87,0.73,1.25,0.25,12.35,99.55
2017,10,4,5.33,7.8,5.51,1.14,0.72,1.11,0.23,11.94,95.94
2017,10,5,5.06,6.63,5.49,1.69,0.69,1.1,0.22,11.49,91.39
2017,10,6,5.53,9.55,5.49,0.61,0.76,1.21,0.24,12.16,98.72
2017,10,7,5.35,9.06,5.34,0.72,0.74,1.21,0.24,12.02,97.27
2017,10,8,5.44,9.5,5.41,0.63,0.76,1.16,0.23,11.92,96.84
2017,10,9,5.08,7.76,5.12,1.03,0.71,1.07,0.22,11.12,91.2
2017,10,10,3.92,3.29,4.92,2.14,0.55,0.9,0.18,9.12,71.74
2017,10,11,4.57,5.14,5.03,1.96,0.66,0.93,0.19,9.81,80.1
2017,10,12,5.09,7.93,5.12,1.04,0.73,0.93,0.19,10.69,87.93
2017,10,13,5.08,8.44,5.09,0.85,0.74,0.95,0.2,10.97,90
2017,10,14,5.08,8.93,5.07,0.68,0.75,0.95,0.19,10.94,90.01
2017,10,15,4.9,8.07,4.9,0.86,0.73,0.92,0.19,10.24,85.45
2017,10,16,4.23,4.61,4.73,2.02,0.63,0.91,0.18,9.19,74.92
2017,10,17,3.26,1.78,4.58,2.48,0.49,0.8,0.16,7.62,59.18
2017,10,18,3.18,3.05,4.54,1.58,0.48,0.76,0.15,7.45,57.96
2017,10,19,2.65,1.47,4.53,1.91,0.41,0.76,0.15,7.09,51.53
2017,10,20,3.82,3.58,4.63,1.99,0.59,0.92,0.18,9.16,70.95
2017,10,21,4.53,8.22,4.51,0.63,0.71,0.92,0.19,10.27,84.6
2017,10,22,4.64,8.55,4.63,0.62,0.73,0.92,0.19,10.23,84.5
2017,10,23,4.48,8.08,4.47,0.65,0.72,0.91,0.19,10,82.7
2017,10,24,4.42,7.85,4.44,0.7,0.72,0.96,0.2,9.85,81.37
2017,10,25,4.47,8.46,4.43,0.56,0.73,1.02,0.2,9.8,81.47
2017,10,26,4.4,8.23,4.37,0.59,0.73,1,0.2,9.63,79.95
2017,10,27,3.52,4.59,4.31,1.46,0.59,0.84,0.16,8.11,64.62
2017,10,28,2.78,3.26,4.22,1.24,0.47,0.66,0.13,6.76,52.03
2017,10,29,2.01,1.34,4.17,1.43,0.34,0.53,0.1,5.25,37.97
2017,10,30,3.44,3.98,4.13,1.44,0.59,0.74,0.15,8.04,63.63
2017,10,31,3.95,6.5,4,0.93,0.69,0.77,0.16,8.49,71.09
2017,11,1,3.8,6.19,3.87,1.02,0.66,0.76,0.15,8.15,68.83
2017,11,2,3.51,4.97,3.7,1.25,0.62,0.71,0.14,7.63,64.14
2017,11,3,1.9,0.79,3.72,1.53,0.34,0.52,0.1,5.17,37
2017,11,4,2.4,2.65,3.79,1.18,0.44,0.5,0.1,5.75,44.55
2017,11,5,3.84,7.03,3.95,0.81,0.7,0.63,0.12,8.34,69.77
2017,11,6,3.8,6.97,3.89,0.81,0.7,0.64,0.12,8.2,68.95
2017,11,7,3.96,7.97,3.95,0.57,0.73,0.65,0.13,8.27,70.22
2017,11,8,1.19,0.58,3.65,0.95,0.23,0.33,0.06,3.5,23.88
2017,11,9,2.74,2.94,3.73,1.42,0.52,0.58,0.12,6.52,51.06
2017,11,10,2.15,2.21,3.59,1.27,0.41,0.5,0.1,5.4,40.88
2017,11,11,3.26,5.1,3.64,1.18,0.62,0.59,0.12,7.22,59.69
2017,11,12,3.44,6.47,3.54,0.78,0.67,0.59,0.12,7.51,63.45
2017,11,13,2.26,2.13,3.44,1.37,0.45,0.52,0.1,5.73,43.56
2017,11,14,3.58,7.24,3.61,0.68,0.71,0.62,0.12,7.62,64.88
2017,11,15,1.77,0.95,3.24,1.38,0.35,0.44,0.09,4.7,34.23
2017,11,16,0.65,0.37,3.2,0.51,0.13,0.17,0.04,2.02,13.2
2017,11,17,3.6,7.88,3.58,0.5,0.73,0.56,0.12,7.46,64.08
2017,11,18,3.58,7.22,3.59,0.63,0.73,0.55,0.11,7.26,62.45
2017,11,19,3.11,4.36,3.39,1.32,0.64,0.52,0.1,6.66,55.74
2017,11,20,1.46,0.66,3.02,1.2,0.3,0.36,0.07,4.02,28.63
2017,11,21,2.93,4.01,3.15,1.25,0.62,0.55,0.11,6.55,54.48
2017,11,22,2.26,2.3,3.22,1.37,0.48,0.48,0.09,5.32,41.8
2017,11,23,1.41,0.86,3.04,1.09,0.3,0.35,0.07,3.77,26.95
2017,11,24,2.69,3.4,3.13,1.29,0.58,-999,0.11,6.16,49.95
2017,11,25,2.18,1.04,3.16,1.78,0.48,0.54,0.11,5.3,40.52
2017,11,26,0.73,0.41,3.02,0.59,0.16,0.22,0.05,2.2,14.44
2017,11,27,3.13,6.69,3.22,0.72,0.69,0.53,0.11,6.55,56.54
2017,11,28,3.03,5.67,3.13,0.93,0.67,0.5,0.1,6.56,55.72
2017,11,29,3.23,7.42,3.22,0.53,0.72,0.48,0.09,6.62,57.55
2017,11,30,3.07,6.24,3.1,0.71,0.69,0.44,0.09,6.38,55.29
2017,12,1,2.33,3.22,3.03,1.17,0.52,0.41,0.09,5.27,42.66
2017,12,2,2.28,1.26,2.93,1.81,0.52,0.4,0.08,5.16,41.36
2017,12,3,3.16,7.57,3.16,0.48,0.72,0.41,0.09,6.43,56.26
2017,12,4,3.26,8.06,3.24,0.42,0.75,0.35,0.07,6.38,56.15
2017,12,5,3.24,7.91,3.23,0.49,0.75,0.35,0.07,6.3,55.46
2017,12,6,3.17,7.67,3.15,0.47,0.73,0.37,0.07,6.24,55.09
2017,12,7,3.07,6.46,3.13,0.73,0.72,0.38,0.08,6.12,53.44
2017,12,8,2.54,2.48,3.11,1.76,0.59,0.38,0.08,5.45,44.49
2017,12,9,2.83,4.25,3.1,1.29,0.66,0.38,0.08,5.8,49.2
2017,12,10,3.11,7.47,3.1,0.51,0.73,0.35,0.07,6.04,53.42
2017,12,11,2.77,4.47,2.99,1.08,0.66,0.32,0.06,5.57,47.81
2017,12,12,3.02,7.02,3.01,0.56,0.72,0.34,0.07,5.88,52.12
2017,12,13,2.87,6.02,2.89,0.75,0.68,0.32,0.06,5.54,49.11
2017,12,14,2.86,6.5,2.85,0.55,0.68,0.31,0.06,5.7,50.57
2017,12,15,2.09,1.37,2.67,1.58,0.5,0.27,0.05,4.58,37.24
2017,12,16,2.91,6.54,2.91,0.66,0.7,0.34,0.07,5.78,50.97
2017,12,17,2.96,7.22,2.93,0.45,0.71,0.36,0.07,5.98,52.88
2017,12,18,2.83,6.32,2.82,0.6,0.68,0.32,0.06,5.73,50.71
2017,12,19,1.96,1.36,2.74,1.51,0.47,0.27,0.05,4.49,35.48
2017,12,20,2.96,6.94,2.95,0.53,0.71,0.34,0.07,5.94,52.39
2017,12,21,3.07,7.56,3.07,0.48,0.73,0.33,0.06,5.95,52.77
2017,12,22,2.57,3.26,2.91,1.42,0.62,0.33,0.07,5.41,45.55
2017,12,23,2.13,1.18,2.8,1.67,0.51,0.31,0.06,4.76,38.09
2017,12,24,1.12,0.53,2.75,0.94,0.27,0.2,0.04,3.03,21.31
2017,12,25,1.59,0.74,2.79,1.33,0.38,0.27,0.05,4.11,30.36
2017,12,26,2.6,4.74,2.9,0.89,0.62,0.35,0.07,5.53,46.98
2017,12,27,2.54,4.35,2.83,1.05,0.61,0.34,0.07,5.5,46.64
2017,12,28,2.67,4.4,2.86,1.03,0.63,0.33,0.06,5.5,47.4
2017,12,29,2.56,3.04,2.87,1.48,0.6,0.33,0.06,5.3,44.88
2017,12,30,2.4,1.95,2.8,1.63,0.57,0.3,0.06,5.08,42.39
2017,12,31,1.51,0.82,2.63,1.23,0.36,0.24,0.05,3.74,28.16
2018,1,1,2.49,2.86,2.82,1.46,0.59,0.32,0.06,5.48,45.95
2018,1,2,1.26,0.52,2.75,1.07,0.3,0.21,0.04,3.3,23.91
2018,1,3,0.84,0.41,2.68,0.69,0.2,0.14,0.03,2.38,16.38
2018,1,4,1.51,1.01,2.77,1.13,0.35,0.24,0.05,3.92,29
2018,1,5,1.05,0.63,2.83,0.82,0.24,0.19,0.04,2.94,20.57
2018,1,6,2.83,5.06,3,1.01,0.65,0.33,0.06,5.88,50.51
2018,1,7,1.16,0.49,2.96,0.98,0.27,0.2,0.04,3.15,22.09
2018,1,8,0.44,0.28,2.85,0.34,0.1,0.09,0.02,1.37,8.74
2018,1,9,1.38,0.73,2.84,1.11,0.31,0.23,0.05,3.67,26.58
2018,1,10,1.38,0.8,2.89,1.07,0.3,0.23,0.05,3.67,26.42
2018,1,11,1.99,1.53,3.01,1.41,0.45,0.32,0.06,4.91,37.72
2018,1,12,2.79,4.24,3.16,1.15,0.62,0.37,0.07,6.01,50.43
2018,1,13,3.02,4.89,3.17,1,0.66,0.39,0.08,6.34,54.02
2018,1,14,2.04,1.5,3.15,1.53,0.45,0.35,0.07,4.9,37.35
2018,1,15,1.96,0.99,2.84,1.56,0.42,0.33,0.07,4.76,36.88
2018,1,16,1.46,0.57,2.94,1.23,0.31,0.29,0.06,3.97,28.33
2018,1,17,2.14,1.51,3.07,1.48,0.45,0.36,0.07,5.09,39.98
2018,1,18,1.31,0.65,2.98,1.04,0.27,0.27,0.05,3.59,25.59
2018,1,19,2.84,5.16,3.4,0.87,0.59,0.38,0.08,6.21,51.77
2018,1,20,3.41,7.26,3.45,0.6,0.71,0.37,0.07,7.09,61.17
2018,1,21,2.35,2.07,3.35,1.64,0.48,0.32,0.06,5.62,43.68
2018,1,22,2.73,3.6,3.24,1.22,0.56,0.34,0.07,5.89,48.91
2018,1,23,3.36,5.96,3.42,0.92,0.68,0.41,0.08,6.93,59.34
2018,1,24,1.42,0.66,3.16,1.16,0.29,0.26,0.05,3.75,27.04
2018,1,25,2.95,4.95,3.56,1.06,0.59,0.4,0.08,6.51,53.52
2018,1,26,3.37,5.65,3.57,0.98,0.66,0.43,0.09,7.28,60.96
2018,1,27,3.44,5.92,3.53,0.95,0.67,0.47,0.09,7.47,63.03
2018,1,28,3.71,7.26,3.68,0.63,0.72,0.51,0.1,7.72,65.95
2018,1,29,2.12,0.78,3.56,1.79,0.41,0.4,0.08,5.27,39.16
2018,1,30,3.6,6.42,3.64,0.84,0.69,0.54,0.11,7.66,65.02
2018,1,31,3.79,6.68,3.83,0.9,0.71,0.55,0.11,7.88,66.7
2018,2,1,3.48,4.54,3.63,1.39,0.65,0.55,0.11,7.49,62.87
2018,2,2,3.4,4.37,3.68,1.54,0.62,0.52,0.11,7.41,61.74
2018,2,3,3.89,7.6,3.84,0.62,0.71,0.56,0.12,8.13,69.35
2018,2,4,3.42,4.09,3.8,1.63,0.62,0.55,0.11,7.52,61.77
2018,2,5,3.76,6.01,3.85,1.21,0.67,0.57,0.12,8.1,67.7
2018,2,6,4.21,8.55,4.15,0.53,0.74,0.62,0.12,8.74,73.85
2018,2,7,4.12,7.94,4.07,0.63,0.73,0.66,0.13,8.64,73.12
2018,2,8,4.1,7.47,4.1,0.8,0.71,0.7,0.14,8.64,72.72
2018,2,9,4.15,7.14,4.18,0.86,0.71,0.7,0.14,8.9,74.3
2018,2,10,3.96,5.92,4.21,1.51,0.67,0.68,0.13,8.62,70.88
2018,2,11,2.45,2.49,4.23,1.57,0.41,-999,0.09,5.99,45.83
2018,2,12,4.32,7.57,4.36,0.83,0.72,0.64,0.12,9.24,76.56
2018,2,13,4.5,8.65,4.47,0.57,0.74,0.67,0.13,9.45,79.26
2018,2,14,3.52,4.77,4.35,1.55,0.58,0.68,0.13,7.86,63.61
2018,2,15,4.68,8.97,4.66,0.56,0.76,0.79,0.16,9.83,81.98
2018,2,16,4.64,8.68,4.6,0.58,0.74,0.84,0.17,9.95,82.67
2018,2,17,4.56,8.31,4.53,0.66,0.73,0.99,0.2,10.01,83.03
2018,2,18,4.15,5.59,4.75,1.44,0.65,1.05,0.2,9.53,75.23
2018,2,19,4.66,8.1,4.83,0.83,0.73,0.85,0.17,10.12,82.73
2018,2,20,4.57,6.83,4.83,1.1,0.7,0.66,0.13,9.99,81.19
2018,2,21,4.67,7.87,4.74,0.78,0.71,0.62,0.12,10.14,83.8
2018,2,22,3.76,5.19,4.83,1.18,0.57,0.55,0.11,8.48,67.3
2018,2,23,5.08,9.17,5.07,0.6,0.76,0.66,0.12,10.66,88.49
2018,2,24,3.68,3.38,4.79,1.96,0.55,0.59,0.12,8.66,67.52
2018,2,25,5.08,8.78,5.07,0.67,0.75,0.8,0.16,10.88,89.83
2018,2,26,4.37,5.31,4.95,1.62,0.63,0.67,0.13,9.75,78.59
2018,2,27,5.29,9.16,5.28,0.64,0.77,0.68,0.13,11.1,91.69
2018,2,28,3.03,1.47,4.75,2.27,0.43,0.55,0.12,7.73,57.75
2018,3,1,2.87,1.87,5.08,1.95,0.41,0.56,0.12,7.43,54.75
2018,3,2,3.36,2.76,5.23,1.98,0.47,0.59,0.12,8.3,62.63
2018,3,3,3.7,3.78,5.29,1.87,0.52,0.61,0.12,8.87,68.76
2018,3,4,5.3,8.73,5.47,0.88,0.73,0.8,0.16,11.61,94.28
2018,3,5,5.63,9.69,5.62,0.59,0.77,1,0.2,12.25,99.48
2018,3,6,5.19,6.13,5.5,1.66,0.7,0.99,0.2,11.56,92.61
2018,3,7,5.08,6.63,5.37,1.22,0.68,1.02,0.2,11.6,92.54
2018,3,8,3.86,3.46,5.52,1.84,0.52,0.93,0.19,9.53,71.55
2018,3,9,3.77,1.79,5.48,2.8,0.49,0.98,0.2,9.38,70.52
2018,3,10,1.57,0.58,5.32,1.24,0.2,0.5,0.1,4.8,32.22
