-BEGIN HEADER-,,,,,,,,,,,Denver
2017,2,10,3.59,5.34,4.26,1.32,0.65,0.86,0.17,8.97,65.41
2017,2,11,3.16,3.36,4.25,1.68,0.56,0.82,0.16,8.17,58.59
2017,2,12,2.65,1.28,4.28,2.13,0.47,0.75,0.15,7.35,50.67
2017,2,13,2.37,0.82,4.44,1.99,0.41,0.59,0.12,6.79,45.64
2017,2,14,4.6,9.22,4.64,0.56,0.79,0.82,0.16,10.86,80.55
2017,2,15,4.69,9.22,4.74,0.65,0.8,0.77,0.15,10.95,81.28
2017,2,16,4.77,9.7,4.79,0.53,0.8,0.84,0.17,11.1,82.94
2017,2,17,4.21,4.8,4.73,1.9,0.7,0.87,0.17,10.4,75.38
2017,2,18,3.31,1.67,4.67,2.51,0.55,0.82,0.16,8.93,62.09
2017,2,19,3.35,2.47,4.77,2.19,0.55,0.85,0.17,8.93,62.54
2017,2,20,4.94,9.64,4.99,0.62,0.8,1.01,0.2,11.73,86.59
2017,2,21,4.58,7.19,4.98,1.23,0.73,1.16,0.23,11.2,81.76
2017,2,22,4.78,7.89,5.02,1.11,0.76,1.16,0.23,11.42,84.22
2017,2,23,2.05,0.97,5.15,1.61,0.32,0.59,0.12,5.96,39.7
2017,2,24,2.8,1.28,5.26,2.22,0.43,0.66,0.13,7.66,52.05
2017,2,25,4.29,4.5,5.33,2.15,0.66,0.8,0.16,10.45,75.09
2017,2,26,5.31,8.95,5.46,1.08,0.8,0.88,0.17,12.44,90.48
2017,2,27,4.7,5.33,5.36,2.04,0.7,0.88,0.17,11.56,83.14
2017,2,28,3.26,1.52,5.39,2.58,0.48,0.75,0.15,8.93,61.05
2017,3,1,5.3,9.3,5.6,0.84,0.78,0.91,0.18,12.39,90.88
2017,3,2,5.54,9.85,5.59,0.77,0.8,0.98,0.2,13.09,95.98
2017,3,3,5.43,9.41,5.62,0.96,0.78,0.99,0.2,12.73,94.1
2017,3,4,5.23,8.31,5.56,1.08,0.75,1.04,0.21,12.48,92.09
2017,3,5,3.82,1.71,5.6,2.97,0.54,0.97,0.2,10.14,70.26
2017,3,6,3.27,1.65,5.95,2.45,0.46,0.91,0.18,9.05,61.01
2017,3,7,5.59,9.1,5.92,1.03,0.77,1.01,0.2,13.43,97.25
2017,3,8,5.35,7.87,5.78,1.35,0.73,1.17,0.23,13.02,94.84
2017,3,9,5.33,6.97,5.79,1.91,0.73,1.25,0.25,12.93,94.99
2017,3,10,5.13,5.46,5.8,2.28,0.69,1.36,0.27,12.73,92.18
2017,3,11,4.71,5.23,5.91,1.83,0.62,1.27,0.25,12.02,85.19
2017,3,12,4.43,3.91,5.95,2.27,0.59,1.1,0.22,11.41,81.01
2017,3,13,4.41,2.62,6.04,3.15,0.58,1.09,0.22,11.66,81.27
2017,3,14,5.34,5.45,6.1,2.54,0.7,1.33,0.27,13.46,96.26
2017,3,15,5.47,6.25,6.13,2.25,0.7,1.3,0.26,13.39,97.52
2017,3,16,5.66,6.53,6.1,1.95,0.72,1.45,0.29,13.88,101.41
2017,3,17,5.24,5.42,6.14,2.25,0.66,1.43,0.28,13.19,94.87
2017,3,18,5.97,7.91,6.27,1.57,0.75,1.53,0.3,14.57,106.13
2017,3,19,6.15,8.24,6.4,1.37,0.77,1.62,0.32,15.12,109.87
2017,3,20,4.63,3.75,6.41,2.76,0.57,1.57,0.3,12.33,86.38
2017,3,21,4.18,3.19,6.3,2.57,0.51,1.48,0.28,11.36,79.75
2017,3,22,5.67,5.33,6.52,2.45,0.69,1.9,0.37,14.54,103.37
2017,3,23,5.25,6.35,6.58,1.6,0.63,1.76,0.34,13.7,96.87
2017,3,24,3.36,2.39,6.75,2.01,0.4,1.16,0.23,9.6,64.14
2017,3,25,4.93,3.47,6.79,3.17,0.59,1.54,0.3,13.11,91.16
2017,3,26,3.52,2.28,6.57,2.16,0.41,1.12,0.22,9.65,66.48
2017,3,27,4.26,4.53,6.77,1.91,0.5,1.27,0.25,11.34,79.36
2017,3,28,2.31,1.28,6.58,1.53,0.27,0.77,0.16,6.78,45.51
2017,3,29,5.27,6.11,7.02,1.88,0.6,1.4,0.28,13.59,95.62
2017,3,30,4.18,2.81,7,2.45,0.48,1.28,0.26,11.62,79.13
2017,3,31,1.51,0.63,6.76,1.13,0.17,0.53,0.11,4.92,32
2017,4,1,2.74,1.17,7.02,2.05,0.3,0.83,0.16,8.31,55.05
2017,4,2,5.82,7.2,7.12,1.53,0.65,1.45,0.29,14.79,105.5
2017,4,3,5.79,5.34,7.4,2.69,0.64,1.65,0.33,14.91,104.49
2017,4,4,2.61,0.99,7.26,1.93,0.29,0.86,0.17,7.98,52.31
2017,4,5,6.25,8.36,7.47,1.21,0.68,1.52,0.3,15.8,111.77
2017,4,6,7.1,10.2,7.36,1.12,0.77,1.88,0.38,17.86,127.8
2017,4,7,5.75,4.09,7.32,3.45,0.62,1.82,0.36,15.12,106.09
2017,4,8,5.82,4.56,7.44,3.31,0.62,2,0.39,15.39,107.53
2017,4,9,6.55,9.28,7.77,1.35,0.7,1.95,0.39,16.42,116.2
2017,4,10,7.28,10.07,7.83,1.27,0.77,1.8,0.36,17.89,127.82
2017,4,11,6.46,6.36,7.7,2.81,0.68,1.78,0.35,16.3,115.8
2017,4,12,7.06,8.97,7.55,1.55,0.73,1.91,0.38,17.41,125.79
2017,4,13,7.21,9.07,7.67,1.46,0.75,1.95,0.39,18.03,129.13
2017,4,14,7.4,10.16,7.74,1.2,0.77,2,0.4,18.12,131.12
2017,4,15,7.02,8.5,7.8,1.98,0.72,2.02,0.41,17.48,125.32
2017,4,16,6.45,5.47,7.77,2.91,0.66,2.01,0.4,16.59,117.16
2017,4,17,6.09,4.56,7.88,3.7,0.62,1.89,0.38,15.84,112.02
2017,4,18,7.18,7.16,7.76,2.56,0.73,2.25,0.45,18.2,130.62
2017,4,19,6.71,8.3,7.96,1.88,0.67,2.25,0.45,17.07,121.95
2017,4,20,4.67,3.25,7.84,2.64,0.47,1.59,0.32,12.55,87.39
2017,4,21,5.22,3.85,8.03,2.84,0.52,1.59,0.31,13.84,96.36
2017,4,22,5.88,5.74,8.15,2.6,0.59,1.61,0.32,15.22,107.23
2017,4,23,7.14,5.21,8.15,3.62,0.7,2.17,0.43,18.2,128.91
2017,4,24,4.76,3.62,8,2.72,0.47,1.56,0.31,12.8,89.89
2017,4,25,5.16,3.33,8.33,3.01,0.51,1.61,0.32,14.02,95.86
2017,4,26,5.59,4.95,8.4,2.88,0.55,1.56,0.3,14.71,102.18
2017,4,27,5.17,3.07,8.36,3.24,0.5,1.59,0.31,14.07,96.77
2017,4,28,4.67,3.88,8.48,2.47,0.45,1.31,0.26,12.48,86.51
2017,4,29,2.44,1.02,8.55,1.82,0.23,0.82,0.16,7.66,50.07
2017,4,30,7.43,9.01,8.53,1.4,0.71,1.97,0.4,18.62,132.2
2017,5,1,5.38,5.33,8.44,2.15,0.52,1.66,0.34,14.23,98.5
2017,5,2,4.64,2.99,8.35,2.91,0.44,1.58,0.31,13.02,89.32
2017,5,3,5.84,5.44,8.46,2.72,0.55,1.8,0.36,15.27,107.32
2017,5,4,8.12,11.37,8.47,0.98,0.77,2.32,0.47,20.48,146.99
2017,5,5,8.02,10.54,8.47,1.35,0.75,2.36,0.47,20.11,144.78
2017,5,6,6.16,6.01,8.4,2.46,0.58,2.01,0.4,16.2,114.11
2017,5,7,3.45,1.39,8.26,2.44,0.32,1.4,0.28,10.19,68.62
2017,5,8,3.15,2.15,8.3,2.01,0.29,1.12,0.22,8.87,61.2
2017,5,9,4.27,1.84,8.3,3.05,0.39,1.48,0.3,11.97,83.05
2017,5,10,3.59,1.94,8.42,2.3,0.33,1.3,0.26,10.23,69.71
2017,5,11,7.45,8.17,8.72,2.19,0.68,2.39,0.48,19.08,135.32
2017,5,12,8.27,11.07,8.82,1.14,0.76,2.73,0.54,20.93,149.25
2017,5,13,8.09,10.34,8.76,1.43,0.73,2.67,0.53,20.58,146.83
2017,5,14,7.2,7.53,8.84,2.13,0.66,2.49,0.49,18.64,130.95
2017,5,15,7.57,7.25,8.85,2.34,0.69,2.84,0.55,19.68,138.16
2017,5,16,5.81,5.98,8.8,2.16,0.52,2.01,0.4,15.28,107.85
2017,5,17,6.25,3.92,8.89,3.45,0.56,2.01,0.4,16.55,114.88
2017,5,18,1.8,0.78,8.95,1.27,0.16,0.7,0.14,5.87,38.28
2017,5,19,3.75,2.32,9.03,2.13,0.34,1.19,0.23,10.68,71.95
2017,5,20,6.81,8.18,9.11,1.61,0.61,1.9,0.38,17.62,124.41
2017,5,21,6.45,6.07,8.92,2.74,0.58,1.96,0.39,17.06,119.6
2017,5,22,6.27,4.94,8.8,2.76,0.55,1.88,0.38,16.42,115.7
2017,5,23,6.27,5.66,9.14,2.69,0.55,1.83,0.37,16.27,113.94
2017,5,24,8.61,11.11,9.05,1.28,0.77,2.72,0.54,21.8,155.62
2017,5,25,5.55,5.12,8.85,2.28,0.49,1.92,0.38,14.86,104.57
2017,5,26,6.7,5.46,8.85,3.27,0.59,1.99,0.4,17.4,123.68
2017,5,27,4.42,2.52,8.89,2.82,0.39,1.45,0.29,12.34,84.98
2017,5,28,8.03,9.26,9.14,1.87,0.7,2.21,0.45,20.15,144.08
2017,5,29,6.1,5.2,8.89,2.85,0.54,1.8,0.36,15.87,112.8
2017,5,30,7.3,7.09,8.92,2.56,0.64,2.18,0.44,18.61,132.79
2017,5,31,6.04,4.15,8.95,3.31,0.53,1.94,0.39,15.99,112.36
2017,6,1,5.26,2.78,8.76,3.33,0.46,1.79,0.36,14.38,100.84
2017,6,2,5.03,3.04,8.77,2.89,0.44,1.74,0.35,13.98,96.35
2017,6,3,7.25,7.85,8.98,2.25,0.63,2.23,0.45,18.52,132.35
2017,6,4,8.55,10.55,8.95,1.41,0.74,2.73,0.54,21.72,156.41
2017,6,5,4.81,4.37,8.78,2.31,0.41,1.61,0.32,13.05,92.5
2017,6,6,4.76,3.61,8.74,2.48,0.41,1.66,0.33,12.93,91.11
2017,6,7,6.53,5.83,8.75,2.64,0.56,2.23,0.45,17.21,122.63
2017,6,8,7.32,7.1,8.89,2.45,0.63,2.58,0.51,19.11,136.05
2017,6,9,8.04,8.47,9.18,3.12,0.7,2.69,0.54,20.38,146.73
2017,6,10,8.73,9.77,9.29,1.8,0.76,3.08,0.6,22.23,157.76
2017,6,11,7.52,7.44,9.07,3.12,0.65,2.63,0.52,19.73,140.54
2017,6,12,8.97,12.38,9.38,1.12,0.77,3.09,0.61,22.91,162.66
2017,6,13,8.88,11.22,9.46,1.61,0.77,2.95,0.58,22.36,159.03
2017,6,14,8.52,11.03,9.28,1.3,0.73,2.83,0.56,21.73,154.84
2017,6,15,8.43,9.12,9.25,2.22,0.73,2.95,0.58,21.72,153.85
2017,6,16,7.92,7.37,9.07,3.13,0.68,2.71,0.54,20.46,146.02
2017,6,17,6.32,3.06,8.97,4.22,0.55,2.44,0.48,17.36,120.59
2017,6,18,8.86,11.17,9.11,1.2,0.77,3.14,0.62,22.77,162.22
2017,6,19,8.81,10.2,9.19,2.11,0.76,3.1,0.61,22.64,161.82
2017,6,20,7.71,7.43,9.05,2.71,0.66,2.77,0.55,20.12,143.08
2017,6,21,7.66,8.01,9.02,2.11,0.66,2.76,0.54,19.91,141.74
2017,6,22,5.68,4.58,8.45,2.7,0.49,1.98,0.39,14.72,106.87
2017,6,23,6.35,5.97,9.03,2.19,0.55,2.45,0.48,16.95,118.56
2017,6,24,7.57,7.17,8.88,2.64,0.66,2.73,0.53,19.22,138.34
2017,6,25,7.91,8.96,8.96,2,0.68,2.78,0.55,20.01,144.31
2017,6,26,8.56,10.37,9.21,1.37,0.74,3.07,0.6,21.74,155.16
2017,6,27,7.75,7.86,8.87,2.5,0.67,2.87,0.56,19.98,143.16
2017,6,28,6.63,5.37,8.81,2.8,0.57,2.48,0.49,17.47,123.36
2017,6,29,7.31,7.89,8.98,2.07,0.63,2.59,0.52,18.79,134.2
2017,6,30,7.38,7.38,9.06,2.52,0.64,2.34,0.47,18.89,134.21
2017,7,1,8.77,11.03,9.17,1.19,0.76,2.65,0.52,21.84,157.09
2017,7,2,4.96,5.09,9.07,1.9,0.43,1.53,0.3,13.02,91.68
2017,7,3,6.25,4.49,8.69,3.12,0.55,2.14,0.43,16.7,117.98
2017,7,4,7.29,7.44,8.99,2.46,0.63,2.52,0.5,19.04,135.02
2017,7,5,7.24,7.66,8.84,2.14,0.63,2.62,0.52,19.02,135.5
2017,7,6,6.03,5.37,8.61,2.49,0.52,2.25,0.45,16.16,114.46
2017,7,7,5.68,4.8,8.51,2.49,0.5,2.05,0.41,15.21,108.29
2017,7,8,5.9,4.99,8.52,2.6,0.52,2.16,0.43,15.71,111.57
2017,7,9,7.7,8.92,8.88,1.66,0.67,2.81,0.55,20.03,142.61
2017,7,10,5.05,5.11,8.61,1.89,0.45,1.88,0.38,13.74,96.77
2017,7,11,5.36,2.78,8.45,3.35,0.47,2.19,0.44,14.95,103.35
2017,7,12,3.12,1.05,8.47,2.38,0.27,1.37,0.27,9.66,64.3
2017,7,13,6.08,4.59,8.45,2.94,0.54,2.34,0.46,16.27,115.09
2017,7,14,5.37,4.37,8.7,2.45,0.48,2.13,0.42,14.6,101.83
2017,7,15,6.75,5.32,8.48,2.72,0.6,2.67,0.52,17.96,126.68
2017,7,16,7.54,7.82,8.8,1.89,0.67,2.88,0.56,19.34,137.69
2017,7,17,6.14,6.22,8.67,2.16,0.55,2.38,0.47,16.63,116.55
2017,7,18,5.7,5.45,8.46,2.24,0.51,2.21,0.44,15.68,110.16
2017,7,19,5.3,4.44,8.46,2.04,0.48,2.26,0.44,14.81,102.89
2017,7,20,6.25,6.7,8.59,1.73,0.56,2.55,0.49,16.94,118.95
2017,7,21,5.52,5.51,8.51,1.8,0.5,2.31,0.45,15.3,106.88
2017,7,22,5.57,3.44,8.39,3.01,0.5,2.28,0.45,15.51,107.66
2017,7,23,6.52,6.5,8.64,2.48,0.59,2.42,0.48,17.11,121.45
2017,7,24,6.3,6.14,8.41,2.22,0.57,2.51,0.49,17.06,119.74
2017,7,25,4.21,1.73,8.33,2.89,0.38,1.93,0.38,12.48,83.54
2017,7,26,4.71,3,8.31,2.77,0.43,2.02,0.4,13.75,93.4
2017,7,27,6.74,6.46,8.31,2.39,0.62,2.72,0.53,18.14,128.11
2017,7,28,5.44,5.02,8.28,2.26,0.5,2.2,0.43,14.89,104.49
2017,7,29,2.6,0.91,8.17,1.96,0.24,1.28,0.26,8.45,54.41
2017,7,30,5.22,2.78,8.09,3.31,0.48,2.12,0.41,14.57,101.38
2017,7,31,6.14,6.19,8.31,2.35,0.57,2.3,0.45,16.3,115.06
2017,8,1,7,7.98,8.4,1.86,0.65,2.59,0.51,18.16,129.7
2017,8,2,6.34,6.21,8.1,2.21,0.59,2.44,0.48,16.74,119.09
2017,8,3,4.54,2.51,7.84,2.86,0.42,1.74,0.34,12.38,87.45
2017,8,4,6.19,5.54,7.73,2.36,0.58,2.11,0.41,15.7,114.71
2017,8,5,5.57,3.41,7.65,3.12,0.52,1.96,0.39,14.3,103.52
2017,8,6,5.08,3.69,7.79,2.56,0.48,1.88,0.38,13.47,95.91
2017,8,7,2.7,1,7.5,2.02,0.26,1.18,0.23,8.15,55.02
2017,8,8,5.09,3.79,7.74,2.66,0.48,1.86,0.37,13.63,96.79
2017,8,9,5.73,4.99,7.92,2.62,0.55,2.07,0.41,15.2,107.78
2017,8,10,6.23,5.9,7.89,2.25,0.6,2.3,0.45,16.41,116.73
2017,8,11,5.89,5.35,7.87,2.49,0.57,2.14,0.42,15.47,109.98
2017,8,12,6.3,6.49,7.87,2.13,0.61,2.27,0.45,16.48,117.72
2017,8,13,5.76,4.95,7.79,2.51,0.56,2.04,0.41,14.95,106.65
2017,8,14,5.58,4.84,7.84,2.5,0.55,1.98,0.39,15.05,105.46
2017,8,15,5.42,3.82,7.91,3.31,0.53,1.95,0.38,14.69,102.55
2017,8,16,5.58,4.59,7.75,2.54,0.55,1.91,0.38,14.67,103.62
2017,8,17,5.95,5.34,7.84,2.56,0.59,2.05,0.41,15.59,109.96
2017,8,18,6.98,8.56,7.77,1.72,0.7,2.28,0.45,17.81,128.21
2017,8,19,6.36,7.71,7.71,1.67,0.64,2.13,0.42,16.36,117.34
2017,8,20,5.67,5.32,7.59,2.48,0.57,2.03,0.4,14.93,106.07
2017,8,21,6.06,6.4,7.61,1.89,0.62,2.27,0.45,15.89,112.41
2017,8,22,5.47,5.39,7.47,2.24,0.55,2.04,0.4,14.51,103.05
2017,8,23,4.86,3.76,7.42,2.28,0.5,1.83,0.36,13.08,92.13
2017,8,24,4.2,2.53,7.48,2.6,0.43,1.58,0.31,11.59,80.28
2017,8,25,5.77,6.99,7.44,1.63,0.59,1.95,0.38,15,106.98
2017,8,26,6.18,7.61,7.42,1.72,0.64,2.06,0.41,15.81,113.88
2017,8,27,6.28,7.54,7.23,1.65,0.66,2.11,0.41,16.13,117.02
2017,8,28,6.78,8.9,7.2,1.22,0.71,2.14,0.42,16.91,124.31
2017,8,29,5.67,5.81,7.09,2.18,0.6,1.84,0.36,14.28,103.98
2017,8,30,5.35,5.36,6.95,2.06,0.57,1.8,0.36,13.86,100.24
2017,8,31,4.28,3.26,6.89,2.43,0.46,1.5,0.3,11.3,80.94
2017,9,1,5.47,4.91,6.81,2.38,0.59,1.85,0.36,13.94,101.47
2017,9,2,6.43,7.99,6.71,1.42,0.7,1.98,0.39,15.75,117.54
2017,9,3,6.65,8.92,6.95,1.16,0.73,2.14,0.42,16.45,120.75
2017,9,4,5.16,4.71,6.28,2.24,0.57,1.61,0.31,12.34,93.14
2017,9,5,5.03,4.13,5.48,2.29,0.55,1.32,0.26,10.78,87.3
2017,9,6,6.38,7.11,6.52,1.85,0.71,1.81,0.36,14.61,110.73
2017,9,7,4.56,2.74,5.64,2.71,0.52,1.22,0.24,10.02,79.28
2017,9,8,3.87,2.34,5.89,2.43,0.44,1.12,0.22,9.41,70.85
2017,9,9,4.26,3.39,6.26,2.18,0.48,1.34,0.27,10.8,79.12
2017,9,10,4.1,4.04,6.35,1.67,0.47,1.37,0.27,10.76,77.56
2017,9,11,3.59,2.77,6.35,1.76,0.41,1.34,0.26,9.93,69.62
2017,9,12,5.56,6.51,6.49,1.6,0.65,1.8,0.35,14,101.96
2017,9,13,5.09,6.1,6.47,1.91,0.59,1.65,0.32,13.15,95.4
2017,9,14,4.52,4.02,6.51,2.1,0.53,1.59,0.31,12.15,85.5
2017,9,15,6.14,8.57,6.58,1.06,0.73,1.88,0.38,15.34,111.52
2017,9,16,5.07,6.07,6.53,1.7,0.61,1.54,0.3,12.81,91.93
2017,9,17,4.62,4.98,6.38,1.89,0.55,1.41,0.27,11.96,85.66
2017,9,18,6.29,10.05,6.43,0.79,0.77,1.8,0.36,15.36,113.62
2017,9,19,6.35,8.92,6.51,1.2,0.78,1.84,0.37,15.39,112.98
2017,9,20,6.35,10.45,6.35,0.64,0.78,1.8,0.36,15.37,113.97
2017,9,21,6.38,10.99,6.34,0.49,0.8,1.84,0.37,15.55,115.05
2017,9,22,5.01,6.55,6.2,1.49,0.63,1.66,0.32,12.74,91.88
2017,9,23,2.47,1.51,5.82,1.64,0.31,0.93,0.18,6.98,47.62
2017,9,24,3.29,2.76,6.07,1.78,0.42,1.15,0.22,8.79,60.49
2017,9,25,3.16,2.62,6.11,1.72,0.41,0.99,0.2,8.36,57.84
2017,9,26,4.61,5.11,6.01,1.7,0.6,1.3,0.26,11.55,83.08
2017,9,27,1.7,0.84,5.7,1.23,0.22,0.65,0.12,5.18,34.16
2017,9,28,3.16,1.81,5.78,2.22,0.41,1.13,0.22,8.82,60.14
2017,9,29,4.05,3.8,5.69,2.03,0.54,1.27,0.25,10.56,75.05
2017,9,30,3.88,3.88,5.66,2.12,0.52,1.15,0.23,10.12,72.76
2017,10,1,4.3,4.67,5.65,1.95,0.59,1.25,0.24,10.9,78.91
2017,10,2,2.37,1.66,5.54,1.41,0.33,0.73,0.15,6.59,44.95
2017,10,3,3.89,4.38,5.66,1.75,0.54,1.02,0.2,10.09,71.66
2017,10,4,4.97,7.72,5.44,1.01,0.7,1.35,0.27,12.26,90.47
2017,10,5,4.29,5.62,5.24,1.47,0.6,1.22,0.24,10.47,77.58
2017,10,6,4.49,5.98,5.45,1.52,0.64,1.23,0.24,10.89,80.04
2017,10,7,5.29,9.03,5.47,1.01,0.76,1.17,0.23,12.7,94.52
2017,10,8,5.34,9.51,5.42,0.71,0.77,1.3,0.27,12.8,95.21
2017,10,9,2.11,1.5,5.35,1.35,0.31,0.68,0.13,5.92,39.86
2017,10,10,5.23,9.79,5.41,0.61,0.77,1.1,0.23,12.37,92.19
2017,10,11,4.39,5.4,5.26,2.01,0.66,1.05,0.21,10.8,79.02
2017,10,12,5.21,9.83,5.21,0.62,0.78,1.2,0.24,12.2,92.16
2017,10,13,5.17,9.84,5.17,0.62,0.79,1.21,0.24,12,90.97
2017,10,14,4.75,8.76,5.17,0.82,0.73,1.1,0.22,10.91,82.46
2017,10,15,5.12,10.02,5.13,0.52,0.8,1.02,0.2,11.83,89.84
2017,10,16,4.32,5.57,5.12,1.83,0.68,0.91,0.18,10.29,75.86
2017,10,17,4.87,8.47,4.98,0.96,0.77,1.1,0.22,11.4,86.04
2017,10,18,4.3,5.86,4.88,1.55,0.69,1.07,0.21,10.32,76.59
2017,10,19,4.15,4.08,4.76,2.32,0.67,1,0.2,10.04,74.56
2017,10,20,4.25,6.66,4.68,1.3,0.7,1,0.2,10.17,76.38
2017,10,21,4.37,7.08,4.9,1.3,0.72,0.94,0.19,10.05,75.49
2017,10,22,3.82,5.17,4.63,1.5,0.64,0.83,0.16,9.41,69.41
2017,10,23,4.02,5.68,4.53,1.33,0.68,0.91,0.18,9.58,72.02
2017,10,24,4.49,8.79,4.61,0.78,0.77,0.99,0.2,10.37,79.24
2017,10,25,4.59,9.52,4.57,0.51,0.79,1.01,0.2,10.42,80.38
2017,10,26,2.17,2.66,4.37,1.04,0.38,0.59,0.12,5.54,39.77
2017,10,27,3.17,3.74,4.46,1.8,0.55,0.75,0.15,7.89,57.18
2017,10,28,2.59,2.96,4.31,1.44,0.46,0.63,0.12,6.62,47.67
2017,10,29,4.27,8.9,4.27,0.55,0.77,0.88,0.18,9.77,75.77
2017,10,30,1.62,0.84,4.1,1.27,0.3,0.47,0.09,4.55,30.71
2017,10,31,3.17,3.28,4.2,1.65,0.58,0.76,0.15,7.77,56.64
2017,11,1,3.27,2.84,4.21,2.12,0.61,0.73,0.15,7.93,58.26
2017,11,2,3.75,7.28,4.02,0.75,0.7,0.79,0.16,8.55,66.38
2017,11,3,3.97,7.28,4.1,0.83,0.75,0.83,0.16,9.03,69.7
2017,11,4,3.06,4.43,3.95,1.21,0.59,0.66,0.13,7.42,55.62
2017,11,5,2.69,3.99,3.9,1.14,0.52,0.52,0.11,6.3,47.6
2017,11,6,2.83,4.1,3.94,1.18,0.55,0.54,0.11,6.72,50.34
2017,11,7,2.29,2.39,3.81,1.35,0.45,0.45,0.09,5.62,40.8
2017,11,8,3.86,8.27,3.98,0.53,0.77,0.62,0.12,8.51,66.46
2017,11,9,3.61,7.06,3.88,0.77,0.73,0.66,0.13,8.19,63.06
2017,11,10,3.42,5.07,3.76,1.41,0.7,0.66,0.13,7.88,60.59
2017,11,11,3.48,7.36,3.71,0.64,0.72,0.68,0.14,7.76,60.94
2017,11,12,3.65,7.06,3.71,0.84,0.76,0.68,0.14,8.03,63.14
2017,11,13,3.58,7.85,3.58,0.57,0.75,0.68,0.14,7.93,62.99
2017,11,14,3.23,4.72,3.58,1.44,0.69,0.69,0.14,7.43,57.12
2017,11,15,3.47,6.93,3.59,0.84,0.74,0.66,0.13,7.7,60.45
2017,11,16,3.21,5.87,3.51,1.03,0.7,0.62,0.12,7.34,56.97
2017,11,17,1.72,1.39,3.45,1.23,0.38,0.42,0.09,4.49,31.98
2017,11,18,3.19,6.82,3.59,0.58,0.7,0.54,0.11,7.1,55.01
2017,11,19,2.77,3.81,3.53,1.24,0.62,0.49,0.1,6.48,48.43
2017,11,20,2.72,3.17,3.45,1.63,0.61,0.48,0.09,6.45,48.12
2017,11,21,2.11,2.07,3.28,1.38,0.48,0.41,0.08,5.23,38.14
2017,11,22,2.43,2.93,3.23,1.28,0.55,0.45,0.09,5.91,44.41
2017,11,23,2.35,1.82,3.25,1.67,0.54,0.5,0.1,5.75,42.21
2017,11,24,2.22,3.64,3.15,1.02,0.52,0.47,0.09,5.24,40.13
2017,11,25,3.13,6.54,3.31,0.68,0.73,0.58,0.12,6.97,54.67
2017,11,26,2.72,4.52,3.19,1.11,0.64,0.57,0.12,6.26,48.34
2017,11,27,2.75,5.22,3.19,0.91,0.66,0.57,0.12,6.27,48.58
2017,11,28,2.44,4.3,3.02,0.97,0.59,0.52,0.1,5.56,43.15
2017,11,29,2.89,5.98,3.14,0.75,0.7,0.48,0.1,6.32,50.34
2017,11,30,3.15,8.15,3.13,0.4,0.77,0.51,0.1,6.72,54.69
2017,12,1,2.42,5.08,3.07,0.72,0.59,0.39,0.08,5.48,42.76
2017,12,2,3.02,7.41,3.06,0.51,0.74,0.46,0.09,6.52,52.69
2017,12,3,2.51,2.77,3.06,1.61,0.62,0.47,0.09,5.8,44.21
2017,12,4,2.67,5.76,3.15,0.72,0.66,0.39,0.08,5.79,45.57
2017,12,5,3.02,7.95,3.13,0.38,0.76,0.32,0.06,6.33,51.31
2017,12,6,2.33,5.14,3.14,0.73,0.59,0.27,0.05,5.04,39.45
2017,12,7,1.63,2.71,3.08,0.79,0.41,0.22,0.05,3.94,28.96
2017,12,8,2.48,4.57,3.04,1,0.63,0.34,0.07,5.63,43.31
2017,12,9,3.03,8.22,3.08,0.37,0.77,0.34,0.07,6.35,51.33
2017,12,10,3,8.02,3.03,0.41,0.77,0.34,0.06,6.25,50.8
2017,12,11,2.93,7.72,2.98,0.45,0.75,0.34,0.07,6.22,50.28
2017,12,12,2.91,7.81,2.94,0.43,0.75,0.32,0.06,6.16,50.23
2017,12,13,2.13,2.72,2.89,1.23,0.55,0.27,0.05,5.01,37.69
2017,12,14,1.98,3.84,2.88,0.7,0.52,0.22,0.05,4.39,34.05
2017,12,15,2.79,7.06,2.92,0.53,0.73,0.3,0.06,6.03,48.34
2017,12,16,1.95,1.44,2.9,1.51,0.51,0.28,0.05,4.84,34.84
2017,12,17,2.01,2.45,2.83,1.24,0.52,0.24,0.05,4.74,35.55
2017,12,18,2.55,4.41,2.9,1.17,0.66,0.29,0.05,5.8,44.92
2017,12,19,2.81,7.06,2.89,0.54,0.73,0.34,0.06,6.13,49.21
2017,12,20,2.8,7.06,2.83,0.52,0.73,0.33,0.06,6.01,48.69
2017,12,21,1.68,1.85,2.89,1.07,0.44,0.26,0.05,4.23,30.26
2017,12,22,2.82,6.83,2.97,0.55,0.73,0.32,0.06,6.2,48.56
2017,12,23,2.12,3.05,2.89,1.01,0.55,0.27,0.05,5.09,38.15
2017,12,24,2.67,5.28,3.06,0.92,0.7,0.29,0.05,5.93,45.35
2017,12,25,2.01,3.57,2.9,0.77,0.52,0.27,0.05,4.76,36.02
2017,12,26,2.23,4.23,2.92,0.84,0.58,0.27,0.05,5.07,39.24
2017,12,27,2.41,5.38,2.97,0.73,0.62,0.27,0.05,5.39,41.98
2017,12,28,2.81,6.58,2.97,0.78,0.73,0.3,0.05,6.16,48.52
2017,12,29,2.26,2.46,2.92,1.36,0.58,0.27,0.05,5.23,39.43
2017,12,30,2.82,6.52,2.94,0.67,0.73,0.3,0.06,5.97,48.21
2017,12,31,2.5,5.04,3,0.79,0.64,0.27,0.05,5.48,42.98
