-BEGIN HEADER-,,,,,,,,,,,Los Angeles
2017,3,31,7.33,11.15,7.34,0.6,0.79,1.7,0.34,16.96,130.55
2017,4,1,7.16,10.56,7.17,0.71,0.77,1.72,0.34,16.64,129.07
2017,4,2,7.03,9.55,7.09,1.03,0.75,1.8,0.36,16.25,126.48
2017,4,3,6.78,9.05,7.31,1.04,0.72,1.8,0.36,15.77,120.85
2017,4,4,6.95,8.64,7.1,1.32,0.73,1.73,0.35,16.08,124.95
2017,4,5,6.93,7.84,7.21,1.71,0.73,1.77,0.35,16.09,124.45
2017,4,6,4.85,2.44,7.21,3.41,0.51,1.45,0.29,12.2,89.22
2017,4,7,6.24,4.33,7.16,3.34,0.65,1.82,0.36,15.43,116.16
2017,4,8,6.09,7.56,7.6,1.3,0.62,1.69,0.34,14.48,108.76
2017,4,9,6.54,6.33,7.65,2.55,0.67,1.63,0.33,15.48,117.02
2017,4,10,7.52,10.33,7.63,1.07,0.77,1.84,0.37,17.13,132.66
2017,4,11,6.51,7.23,7.37,2.26,0.66,1.79,0.36,15.44,118.73
2017,4,12,7.51,10.56,7.54,0.85,0.76,2.05,0.41,17.83,136.91
2017,4,13,5.29,5.76,7.65,1.89,0.53,1.53,0.3,13.06,96.55
2017,4,14,7.61,10.56,7.8,0.96,0.76,2.03,0.41,17.47,134.67
2017,4,15,7.6,9.93,7.64,1.2,0.76,2.2,0.43,17.45,135.45
2017,4,16,7.39,8.19,7.7,1.68,0.73,2.17,0.43,17.3,132.54
2017,4,17,5.52,3.45,7.6,3.58,0.55,1.83,0.37,14.22,104.93
2017,4,18,4.66,4.26,7.46,2.1,0.46,1.66,0.33,12.05,88.95
2017,4,19,7.78,10.56,7.92,1.01,0.76,2.35,0.46,18.08,139
2017,4,20,7.83,10.96,8.09,0.93,0.77,2.27,0.45,18.28,139.58
2017,4,21,8.04,11.35,8.06,0.8,0.78,2.34,0.46,18.7,143.46
2017,4,22,7.74,9.41,8.01,1.54,0.75,2.33,0.46,18.15,138.75
2017,4,23,7.86,10.38,7.99,1.17,0.76,2.3,0.45,18.43,141.34
2017,4,24,7.05,6.3,7.86,2.7,0.68,2.22,0.44,17.78,132.68
2017,4,25,6.38,3.34,8.02,4.16,0.61,2.1,0.41,16.14,118.52
2017,4,26,5.96,3.52,7.87,3.52,0.57,2.07,0.41,15.56,113.26
2017,4,27,6.48,5.53,8.13,3.13,0.62,2.06,0.41,16.13,119.51
2017,4,28,8.26,11.16,8.4,0.99,0.78,2.37,0.47,19.42,147.04
2017,4,29,8.49,12.27,8.53,0.68,0.8,2.41,0.48,19.96,151.06
2017,4,30,8.35,11.63,8.39,0.79,0.78,2.38,0.47,19.27,147.77
2017,5,1,8.05,11,8.09,0.83,0.75,2.44,0.48,19.13,146.86
2017,5,2,7.96,10.37,8.07,1.18,0.74,2.39,0.47,18.68,144.13
2017,5,3,7.85,9.41,8.02,1.44,0.73,2.27,0.45,18.55,142.88
2017,5,4,7.86,10.07,7.94,1.1,0.73,2.27,0.45,18.57,143.73
2017,5,5,6.72,4.56,8.14,3.7,0.62,2.05,0.41,16.45,123.56
2017,5,6,3.99,2.76,8.12,2.31,0.37,1.23,0.25,10.45,75.01
2017,5,7,5.82,4.6,8.31,2.71,0.53,1.54,0.3,14.59,107.25
2017,5,8,7.65,8.36,8.32,2.01,0.7,1.88,0.38,18.35,139.14
2017,5,9,6.52,6.54,8.01,2.01,0.59,1.84,0.37,15.94,120.86
2017,5,10,4.63,4.24,8.09,1.69,0.42,1.47,0.29,11.86,86.79
2017,5,11,8.27,10.48,8.33,1.09,0.75,2.42,0.48,19.79,151.17
2017,5,12,7.64,9.48,8.41,1.22,0.7,2.3,0.45,18.45,139.73
2017,5,13,8.81,12.17,8.9,0.81,0.8,2.55,0.51,20.73,156.27
2017,5,14,7.98,10.14,8.71,1.38,0.72,2.38,0.47,19.09,143.57
2017,5,15,5.27,4.05,8.41,2.68,0.48,1.53,0.3,13.09,96.91
2017,5,16,7.71,8.38,8.4,1.8,0.7,1.91,0.38,18.62,141.24
2017,5,17,7.08,8.14,8.55,1.72,0.63,2,0.4,17.49,130.4
2017,5,18,8.73,12.08,8.78,0.74,0.78,2.35,0.47,20.77,157.33
2017,5,19,8.72,11.95,8.77,0.76,0.78,2.4,0.48,20.57,156.61
2017,5,20,8.4,11.04,8.48,0.92,0.75,2.34,0.46,19.81,152.42
2017,5,21,8.29,10.5,8.42,1,0.73,2.24,0.45,19.59,150.8
2017,5,22,8.19,10.36,8.42,1.14,0.73,2.06,0.41,19.07,147.77
2017,5,23,8.38,10.66,8.55,1.17,0.74,2.23,0.45,19.45,150.34
2017,5,24,8.05,9,8.64,2.03,0.71,2.26,0.45,19.22,145.89
2017,5,25,6.69,7.22,8.64,1.84,0.59,1.95,0.39,16.54,123.4
2017,5,26,6.07,6.14,8.7,1.78,0.54,1.79,0.36,15.28,111.55
2017,5,27,8.42,10.48,8.59,1.24,0.74,2.35,0.47,19.91,152.68
2017,5,28,8.48,10.74,8.54,1.06,0.75,2.38,0.47,20.01,153.99
2017,5,29,7.58,7.11,8.56,2.86,0.66,2.23,0.45,18.14,138.17
2017,5,30,7.11,6.59,8.5,2.14,0.62,2.16,0.43,17.52,131.42
2017,5,31,4.67,2.57,8.37,3.09,0.41,1.5,0.3,12.3,90.7
2017,6,1,7.92,9.19,8.44,1.4,0.7,2.27,0.45,19.16,146.31
2017,6,2,8.53,10.63,8.68,1.16,0.75,2.4,0.48,20.05,153.84
2017,6,3,8.08,9.13,8.62,1.84,0.7,2.5,0.49,19.6,148.8
2017,6,4,8.38,10.7,8.81,1.08,0.73,2.7,0.53,20.42,154.06
2017,6,5,8.38,10.89,8.87,1,0.73,2.74,0.53,20.41,153.6
2017,6,6,7.75,9,8.91,1.58,0.68,2.54,0.5,18.88,141.27
2017,6,7,7.44,8.75,8.93,1.43,0.65,2.53,0.49,18.23,135.62
2017,6,8,6.91,7.09,8.77,2.14,0.6,2.34,0.46,17.11,127.7
2017,6,9,8.53,11.24,8.75,0.89,0.74,-999,0.57,21.5,160.88
2017,6,10,6.02,5.39,8.74,2.7,0.52,2.08,0.41,15.5,114.03
2017,6,11,5.58,4.79,9.03,2.42,0.48,1.92,0.38,14.34,102.72
2017,6,12,9,12.08,9.12,0.87,0.78,2.62,0.52,21.52,162.34
2017,6,13,8.92,11.86,9,0.87,0.77,2.63,0.52,21.23,161.09
2017,6,14,8.86,11.82,8.93,0.82,0.77,2.73,0.53,21.15,160.67
2017,6,15,8.89,11.8,8.97,0.86,0.77,2.8,0.55,20.88,159.41
2017,6,16,8.77,11.44,8.85,0.96,0.76,2.82,0.55,20.57,157.73
2017,6,17,8.54,10.9,8.63,1,0.74,2.76,0.53,20.28,155.94
2017,6,18,8.47,10.68,8.62,1.07,0.73,2.73,0.53,20.12,154.7
2017,6,19,8.35,10.31,8.51,1.24,0.73,2.67,0.52,19.77,152.88
2017,6,20,8.6,10.89,8.71,1.13,0.75,2.82,0.55,20.7,157.87
2017,6,21,8.8,11.7,8.9,0.85,0.77,2.98,0.58,21.41,161.56
2017,6,22,8.44,10.68,8.79,1.14,0.73,2.77,0.54,20.41,154.85
2017,6,23,8.49,10.52,8.78,1.19,0.73,2.84,0.55,20.62,156.08
2017,6,24,7.19,6.45,8.45,2.75,0.62,2.49,0.48,17.76,135.02
2017,6,25,8.74,11.36,8.8,0.96,0.76,2.98,0.58,21.08,160.16
2017,6,26,8.78,11.68,8.86,0.88,0.77,3.14,0.6,21.46,162.12
2017,6,27,8.95,12.09,9.04,0.8,0.78,3.12,0.6,21.58,162.71
2017,6,28,8.92,11.9,9.04,0.88,0.77,3.02,0.59,21.37,161.31
2017,6,29,8.69,11.13,8.9,1.01,0.76,2.86,0.55,20.88,157.8
2017,6,30,8.22,9.99,8.75,1.26,0.72,2.64,0.52,19.59,149.2
2017,7,1,8.23,10.23,8.76,1.15,0.72,2.64,0.52,19.63,149.45
2017,7,2,8.57,10.89,8.8,1.04,0.75,2.67,0.52,20.76,156.86
2017,7,3,8.69,11.39,8.83,0.91,0.76,2.75,0.54,20.83,158.27
2017,7,4,8.55,11.22,8.62,0.89,0.75,2.82,0.55,20.98,159.05
2017,7,5,8.11,9.71,8.32,1.3,0.71,2.76,0.53,19.83,151.68
2017,7,6,8.14,9.64,8.29,1.39,0.71,2.7,0.52,19.45,150.28
2017,7,7,8.02,9.22,8.29,1.49,0.7,2.77,0.53,19.69,150.22
2017,7,8,7.97,9.09,8.22,1.62,0.7,2.7,0.52,19.49,149.7
2017,7,9,7.28,6.78,7.82,2.37,0.64,2.41,0.47,17.67,137.52
2017,7,10,7.41,7.67,7.88,1.7,0.66,2.54,0.49,18.45,141.48
2017,7,11,8.01,9.44,8.08,1.29,0.7,2.72,0.52,19.73,151.29
2017,7,12,8.18,10.08,8.29,1.16,0.73,2.78,0.54,19.98,152.7
2017,7,13,7.8,8.24,8.32,2.17,0.69,2.78,0.54,19.48,147.29
2017,7,14,8.2,10.36,8.37,1.1,0.73,2.94,0.56,20.26,153.77
2017,7,15,8,9.37,8.29,1.55,0.71,2.88,0.55,19.79,150.27
2017,7,16,7.75,8.92,8.13,1.56,0.69,2.76,0.53,19.15,146.02
2017,7,17,8.02,9.83,8.07,1.2,0.71,2.83,0.55,19.81,151.74
2017,7,18,8.31,10.66,8.43,1,0.74,2.86,0.55,20.33,154.23
2017,7,19,8.15,9.95,8.35,1.39,0.73,2.78,0.54,20.13,152.66
2017,7,20,8.46,11.1,8.53,0.94,0.76,2.88,0.55,20.53,155.5
2017,7,21,8.4,11.01,8.45,0.93,0.75,2.91,0.56,20.37,154.66
2017,7,22,8.43,11.09,8.48,0.9,0.76,2.93,0.56,20.41,154.76
2017,7,23,8,10.17,8.12,1.08,0.72,2.87,0.55,19.97,151.53
2017,7,24,5.6,3.9,7.93,3.17,0.51,2.04,0.41,14.66,108.59
2017,7,25,6.84,6.78,7.94,2.18,0.62,2.34,0.46,17.24,130.36
2017,7,26,7.9,10.03,8.07,1.13,0.72,2.66,0.52,19.64,149.58
2017,7,27,8.27,10.65,8.47,1.35,0.75,2.84,0.55,20.29,152.84
2017,7,28,8.3,11.23,8.41,0.84,0.76,2.9,0.55,20.13,152.51
2017,7,29,8.21,11.06,8.27,0.82,0.75,2.9,0.55,20.2,153.01
2017,7,30,8.15,10.54,8.23,1,0.75,2.72,0.52,19.55,149.18
2017,7,31,7.79,9.67,8.09,1.12,0.72,2.53,0.49,18.82,143.7
2017,8,1,5.15,3.81,7.69,2.26,0.48,1.91,0.38,13.7,100.44
2017,8,2,4.08,1.83,7.55,2.85,0.38,1.57,0.31,11.36,81.95
2017,8,3,5.2,3.52,7.42,2.81,0.48,1.86,0.37,13.74,102.02
2017,8,4,7.34,8.13,7.56,1.76,0.68,2.43,0.48,17.79,137.34
2017,8,5,7.64,9.41,7.7,1.17,0.71,2.63,0.51,18.76,143.72
2017,8,6,7.7,9.74,7.77,1.13,0.72,2.64,0.51,18.87,144.52
2017,8,7,8.02,10.92,8.05,0.83,0.75,2.75,0.53,19.62,148.82
2017,8,8,8.08,11.2,8.1,0.75,0.76,2.76,0.53,19.66,149.25
2017,8,9,8.02,11.13,8.04,0.75,0.76,2.74,0.53,19.57,148.59
2017,8,10,7.94,10.85,8.01,0.86,0.75,2.64,0.52,19.08,145.67
2017,8,11,7.99,10.85,8.05,0.89,0.76,2.62,0.51,19.11,145.68
2017,8,12,8.13,11.33,8.24,0.83,0.77,2.62,0.51,19.24,146.12
2017,8,13,7.82,10.65,7.95,0.84,0.75,2.62,0.51,19.02,144.23
2017,8,14,7.78,10.59,7.95,0.86,0.75,2.59,0.5,19.04,143.85
2017,8,15,6.76,7.85,7.76,1.51,0.65,2.22,0.44,16.66,125.3
2017,8,16,7.08,8.75,7.65,1.18,0.69,2.22,0.44,17.12,130.55
2017,8,17,7.55,10.19,7.57,0.87,0.73,2.31,0.45,18.34,140.89
2017,8,18,7.47,10.03,7.51,0.9,0.73,2.3,0.45,18.14,139.47
2017,8,19,7.28,9.39,7.43,1.08,0.71,2.29,0.45,17.66,135.89
2017,8,20,7.3,9.69,7.55,0.9,0.72,2.42,0.48,18.12,137.24
2017,8,21,7.58,10.2,7.72,0.94,0.75,2.34,0.46,18.11,138.05
2017,8,22,7.7,10.81,7.71,0.79,0.77,2.29,0.45,18.3,140.21
2017,8,23,7.01,9.26,7.45,1.09,0.7,2.21,0.44,17.21,130.97
2017,8,24,6.77,8.63,7.42,1.16,0.68,2.27,0.45,16.83,127.28
2017,8,25,6.86,8.61,7.37,1.25,0.69,2.32,0.45,16.95,128.52
2017,8,26,7.16,9.66,7.31,0.98,0.72,2.32,0.45,17.35,133.25
2017,8,27,7.32,9.95,7.43,1.02,0.74,2.34,0.45,17.46,134.17
2017,8,28,6.89,9.06,7.25,1.06,0.7,2.23,0.44,16.72,128.05
2017,8,29,6.4,8.01,7.07,1.21,0.66,2.05,0.41,15.73,120.35
2017,8,30,6.41,8.01,6.92,1.27,0.66,2,0.39,15.72,121.2
2017,8,31,5.88,6.42,6.8,1.59,0.61,1.93,0.38,14.91,113.35
2017,9,1,6.56,7.61,6.9,1.36,0.68,2.02,0.4,15.91,122.09
2017,9,2,6.52,7.38,6.95,1.39,0.68,2.11,0.41,16.13,122.45
2017,9,3,5.01,4.28,6.5,2.09,0.52,1.7,0.34,12.77,96.4
2017,9,4,5.61,5.03,6.8,2.29,0.59,1.98,0.39,14.59,108.55
2017,9,5,6.45,7.89,6.73,1.38,0.69,2.05,0.4,15.59,120.76
2017,9,6,6.82,9.17,6.95,1.06,0.73,2.02,0.4,16.3,125.71
2017,9,7,6.91,9.67,6.91,0.91,0.74,1.99,0.4,16.53,127.66
2017,9,8,6.86,9.65,6.93,0.89,0.74,1.95,0.38,16.3,125.82
2017,9,9,6.53,8.7,6.93,1.2,0.71,1.8,0.36,15.45,119
2017,9,10,6.02,6.31,6.58,1.86,0.66,1.81,0.36,15.09,114.36
2017,9,11,5.29,5.91,6.55,1.81,0.58,1.66,0.33,13.55,101.8
2017,9,12,6.55,9.32,6.67,0.91,0.72,1.98,0.39,15.96,122.76
2017,9,13,6.62,9.15,6.88,1.1,0.73,1.98,0.39,15.91,121.21
2017,9,14,5.11,5.85,6.61,1.51,0.57,1.57,0.31,12.73,96.2
2017,9,15,5.92,7.58,6.61,1.29,0.66,1.77,0.35,14.31,109.27
2017,9,16,6.38,8.73,6.51,1.03,0.72,1.73,0.34,15.06,116.91
2017,9,17,5.37,6.69,6.42,1.34,0.61,1.45,0.29,12.95,99.36
2017,9,18,6.44,9.42,6.54,0.85,0.73,1.66,0.34,15.1,117.35
2017,9,19,5.49,7.1,6.57,1.31,0.63,1.59,0.31,13.47,101.44
2017,9,20,6.06,8.38,6.5,1.1,0.7,1.74,0.34,14.64,111.66
2017,9,21,4.35,4.84,6.52,1.61,0.51,1.35,0.27,11.09,81.35
2017,9,22,6.34,9.61,6.52,0.8,0.74,1.6,0.32,14.84,114.55
2017,9,23,6.35,9.88,6.41,0.71,0.75,1.48,0.3,14.76,114.91
2017,9,24,6.45,10.08,6.44,0.67,0.77,1.54,0.31,14.66,114.8
2017,9,25,6.32,9.26,6.42,0.89,0.76,1.56,0.31,14.52,112.83
2017,9,26,6.38,10.13,6.37,0.65,0.77,1.59,0.32,14.64,114.23
2017,9,27,6.34,9.98,6.32,0.69,0.77,1.54,0.31,14.45,113.02
2017,9,28,6.15,9.55,6.15,0.73,0.76,1.51,0.3,14.08,110.71
2017,9,29,6.09,9.49,6.08,0.73,0.75,1.55,0.31,13.97,109.86
2017,9,30,5.96,9.22,6.05,0.9,0.74,1.59,0.31,13.9,108.57
2017,10,1,5.86,9.12,5.98,0.8,0.73,1.57,0.31,13.62,106.52
2017,10,2,6.1,10.01,6.09,0.61,0.77,1.59,0.32,14,109.4
2017,10,3,4.71,6.02,5.92,1.42,0.6,1.24,0.24,11.21,85.7
2017,10,4,6.04,9.91,6.04,0.67,0.77,1.49,0.3,13.57,106.78
2017,10,5,5.97,9.81,5.97,0.65,0.77,1.53,0.3,13.36,105.45
2017,10,6,5.99,9.84,5.99,0.67,0.78,1.52,0.3,13.27,104.6
2017,10,7,5.83,9.42,5.92,0.74,0.77,1.41,0.28,12.73,100.99
2017,10,8,5.64,9.15,5.64,0.7,0.75,1.34,0.27,12.66,100.67
2017,10,9,5.74,9.58,5.75,0.7,0.77,1.36,0.27,13.16,103.2
2017,10,10,5.69,9.31,5.69,0.74,0.77,1.28,0.26,12.62,100.37
2017,10,11,5.58,9.25,5.56,0.71,0.76,1.3,0.27,12.66,100.09
2017,10,12,5.57,9.54,5.56,0.62,0.77,1.32,0.27,12.5,99.33
2017,10,13,5.55,9.28,5.55,0.69,0.77,1.36,0.27,12.29,97.95
2017,10,14,5.64,9.42,5.67,0.71,0.78,1.34,0.27,12.24,97.27
2017,10,15,5.5,9.33,5.52,0.67,0.77,1.34,0.27,12.25,97.3
2017,10,16,5.2,8.48,5.24,0.79,0.73,1.27,0.26,11.83,94.36
2017,10,17,4.81,7.23,5.03,1.04,0.69,1.22,0.24,11.4,89.91
2017,10,18,4.7,6.9,4.9,1.1,0.67,1.13,0.23,11.05,87.59
2017,10,19,4.94,8,4.95,0.84,0.72,1.14,0.23,11.2,89.97
2017,10,20,4.36,6.56,5.17,1.15,0.64,1.05,0.21,10.26,79.57
2017,10,21,5.02,8.73,5.04,0.67,0.74,1.11,0.23,11.38,91.02
2017,10,22,5.1,9.04,5.12,0.66,0.76,1.12,0.23,11.33,90.71
2017,10,23,5.08,9.02,5.1,0.68,0.76,1.11,0.23,11.24,89.98
2017,10,24,5.05,9.25,5.07,0.59,0.77,1.13,0.23,11.29,90.27
2017,10,25,5.15,9.5,5.15,0.61,0.79,1.19,0.23,11.11,89.07
2017,10,26,4.87,8.66,4.87,0.67,0.75,1.1,0.22,10.53,85.45
2017,10,27,4.81,8.76,4.79,0.6,0.74,1.09,0.22,10.55,85.47
2017,10,28,4.83,8.95,4.84,0.58,0.76,1.08,0.22,10.65,85.73
2017,10,29,4.54,7.7,4.74,0.76,0.72,0.96,0.2,10.09,80.74
2017,10,30,2.9,2.99,4.5,1.52,0.46,0.7,0.14,7.01,53.43
2017,10,31,3.28,4.22,4.45,1.29,0.52,0.74,0.15,7.84,60.68
2017,11,1,3.91,5.75,4.53,1.16,0.63,0.79,0.16,8.9,70.23
2017,11,2,2.64,3.21,4.44,1.14,0.43,0.64,0.12,6.35,48.1
2017,11,3,3.62,4.84,4.32,1.37,0.59,0.86,0.17,8.5,66.81
2017,11,4,4.19,7.52,4.32,0.75,0.7,0.95,0.19,9.59,77.2
2017,11,5,3.52,5.37,4.29,1.11,0.59,0.84,0.17,8.32,65.23
2017,11,6,3.94,6.09,4.27,0.94,0.66,0.88,0.18,9.15,72.76
2017,11,7,3.99,7.29,4.21,0.79,0.68,0.84,0.17,9.2,74.07
2017,11,8,4.18,7.87,4.21,0.62,0.72,0.81,0.16,9.33,76.01
2017,11,9,4.09,7.38,4.27,0.78,0.71,0.88,0.18,9.26,74.05
2017,11,10,4.11,7.37,4.24,0.74,0.72,0.88,0.18,9.23,74.08
2017,11,11,4.06,7.26,4.18,0.98,0.72,0.85,0.17,8.99,72.89
2017,11,12,2.27,0.89,4.01,1.86,0.41,0.62,0.12,5.84,42.67
2017,11,13,3.72,3.87,4.09,1.85,0.66,0.87,0.17,8.48,67.35
2017,11,14,4.02,7.99,4.04,0.57,0.73,0.94,0.19,8.93,73.07
2017,11,15,3.3,4.13,3.9,1.56,0.6,0.84,0.16,7.77,61.05
2017,11,16,2.68,1.42,3.83,2.05,0.49,0.77,0.15,6.81,50.79
2017,11,17,3.36,5.38,3.9,1.03,0.62,0.8,0.16,7.88,62.21
2017,11,18,4.13,8.4,4.14,0.57,0.77,0.78,0.16,8.7,71.52
2017,11,19,3.99,7.71,4.08,0.89,0.75,0.77,0.16,8.51,69.48
2017,11,20,3.43,4.16,3.71,1.63,0.65,0.75,0.15,7.98,63.8
2017,11,21,3.47,4.78,3.75,1.46,0.66,0.74,0.15,7.88,63.43
2017,11,22,3.77,7.83,3.77,0.59,0.72,0.71,0.14,8.11,67.58
2017,11,23,3.65,6.69,3.74,0.88,0.7,0.7,0.14,8.01,65.82
2017,11,24,3.62,6.79,3.64,0.76,0.7,0.7,0.14,7.97,65.74
2017,11,25,3.72,7.66,3.73,0.6,0.73,0.73,0.15,7.97,66.37
2017,11,26,3.71,7.23,3.75,0.7,0.73,0.76,0.16,8.05,66.29
2017,11,27,3.37,5.82,3.81,0.95,0.66,0.72,0.14,7.45,59.64
2017,11,28,3.77,7.53,3.8,0.68,0.75,0.67,0.13,7.99,66.08
2017,11,29,3.25,4.25,3.71,1.63,0.65,0.59,0.12,7.04,56.74
2017,11,30,3.62,7.55,3.63,0.62,0.73,0.58,0.12,7.6,63.8
2017,12,1,3.6,7.69,3.62,0.57,0.73,0.58,0.12,7.38,62.52
2017,12,2,3.31,4.95,3.63,1.21,0.67,0.65,0.13,7.17,58.26
2017,12,3,3.33,6.5,3.58,0.67,0.68,0.65,0.13,7.07,58.64
2017,12,4,3.69,8.37,3.72,0.5,0.76,0.59,0.12,7.66,64.09
2017,12,5,3.75,8.48,3.75,0.51,0.77,0.52,0.1,7.62,64.02
2017,12,6,3.67,8.37,3.66,0.48,0.76,0.51,0.1,7.49,63.35
2017,12,7,3.68,8.23,3.71,0.58,0.77,0.53,0.11,7.49,62.98
2017,12,8,3.59,7.88,3.61,0.52,0.75,0.54,0.11,7.4,62.41
2017,12,9,3.18,3.75,3.63,1.65,0.66,0.51,0.1,6.91,55.65
2017,12,10,2.92,2.38,3.64,2.05,0.61,0.45,0.09,6.42,50.73
2017,12,11,3.48,7.09,3.57,0.74,0.73,0.47,0.09,7.13,59.9
2017,12,12,3.51,7.59,3.61,0.66,0.74,0.48,0.09,7.12,59.84
2017,12,13,3.48,7.5,3.53,0.63,0.73,0.46,0.09,6.97,59.16
2017,12,14,3.33,7.04,3.49,0.71,0.71,0.43,0.09,6.91,58.09
2017,12,15,3.43,7.12,3.46,0.64,0.73,0.43,0.09,6.94,58.84
2017,12,16,3.02,6.08,3.22,0.7,0.64,0.41,0.09,6.2,52.73
2017,12,17,3.31,6.53,3.51,0.94,0.7,0.45,0.09,6.82,57.01
2017,12,18,3.28,5.93,3.43,0.98,0.7,0.45,0.09,6.94,57.5
2017,12,19,3.35,7.19,3.34,0.59,0.71,0.43,0.09,6.86,58.58
2017,12,20,2.78,5.1,3.39,0.77,0.59,0.41,0.08,6.03,49.11
2017,12,21,3.52,8.06,3.62,0.55,0.75,0.46,0.09,7.05,59.54
2017,12,22,3.2,5.56,3.55,1.19,0.68,0.44,0.09,6.68,55.16
2017,12,23,2.67,1.62,3.47,2.01,0.57,0.45,0.09,6.04,47.09
2017,12,24,3,4.04,3.42,1.35,0.64,0.48,0.1,6.49,52.66
2017,12,25,2.79,2.18,3.4,1.92,0.59,0.46,0.09,6.24,49.6
2017,12,26,3.11,5.29,3.33,1.07,0.66,0.49,0.1,6.79,56.11
2017,12,27,3.41,7.43,3.43,0.56,0.72,0.52,0.1,6.96,59.27
2017,12,28,3.3,6.64,3.46,0.82,0.7,0.47,0.09,6.75,56.84
2017,12,29,3.42,6.94,3.52,0.71,0.73,0.46,0.09,6.91,58.4
2017,12,30,3.16,5.04,3.43,1.07,0.66,0.45,0.09,6.55,54.43
2017,12,31,3.14,5.45,3.32,0.96,0.66,0.45,0.09,6.7,55.85
2018,1,1,3.09,4.61,3.41,1.22,0.65,0.46,0.09,6.78,55.47
2018,1,2,2.7,2.22,3.39,1.77,0.56,0.43,0.09,6.16,48.48
2018,1,3,1.78,0.96,3.39,1.41,0.37,0.32,0.06,4.47,32.55
2018,1,4,2.83,4.83,3.31,0.96,0.59,0.42,0.09,6.38,51.89
2018,1,5,3.33,6.22,3.39,0.75,0.69,0.5,0.1,7.24,60.41
2018,1,6,2.51,1.24,3.34,2,0.52,0.46,0.09,6.23,47.58
2018,1,7,3.11,5,3.43,1.1,0.63,0.51,0.1,6.93,56.73
2018,1,8,0.9,0.5,3.2,0.7,0.18,0.23,0.05,2.55,17.66
2018,1,9,1.45,1.58,3.47,0.83,0.3,0.3,0.06,3.73,27.43
2018,1,10,2.98,5.4,3.48,0.86,0.6,0.43,0.09,6.52,53.66
2018,1,11,3.54,7.5,3.57,0.62,0.71,0.56,0.12,7.62,63.9
2018,1,12,3.52,6.64,3.67,0.86,0.7,0.52,0.11,7.51,62.29
2018,1,13,3.63,7.12,3.81,0.9,0.72,0.55,0.11,7.68,63.48
2018,1,14,3.43,4.68,3.74,1.51,0.67,0.56,0.12,7.48,60.77
2018,1,15,3.33,4.65,3.69,1.34,0.65,0.54,0.11,7.37,59.52
2018,1,16,2.86,1.71,3.67,2.11,0.55,0.53,0.11,6.77,52.46
2018,1,17,3.27,4.95,3.66,1.37,0.63,0.58,0.12,7.37,59.98
2018,1,18,3.53,6.35,3.65,0.85,0.67,0.57,0.12,7.65,63.7
2018,1,19,1.86,1.4,3.66,1.28,0.35,0.39,0.08,4.77,34.77
2018,1,20,3.58,6.94,4.04,0.63,0.67,0.53,0.11,7.58,62.06
2018,1,21,3.74,6.05,4.03,1.22,0.7,0.52,0.1,8.05,65.53
2018,1,22,3.93,7.94,3.94,0.58,0.73,0.58,0.12,8.47,70.24
2018,1,23,4.03,7.95,4.06,0.66,0.74,0.59,0.12,8.4,69.95
2018,1,24,3.93,6.34,4.18,1.26,0.72,0.59,0.12,8.19,67.26
2018,1,25,2.96,4.51,4.14,1.14,0.54,0.51,0.1,6.81,53.36
2018,1,26,4,7.59,4.21,0.75,0.72,0.59,0.12,8.57,70.14
2018,1,27,3.79,5.45,4.11,1.39,0.68,0.62,0.12,8.5,68.73
2018,1,28,4.15,7.98,4.18,0.64,0.73,0.68,0.13,9.05,74.48
2018,1,29,3.81,3.77,4.29,1.98,0.67,0.66,0.13,8.66,68.37
2018,1,30,3.08,1.53,4.29,2.41,0.53,0.59,0.12,7.29,55.51
2018,1,31,4.26,7.96,4.29,0.71,0.73,0.7,0.14,9.21,75.62
2018,2,1,4.17,6.63,4.38,1.21,0.71,0.7,0.14,8.84,72.13
2018,2,2,4.18,7.19,4.36,0.89,0.71,0.76,0.16,9.05,73.69
2018,2,3,4.3,7.83,4.33,0.74,0.72,0.73,0.15,9.09,75.34
2018,2,4,4.35,7.65,4.42,0.85,0.73,0.71,0.14,9.21,75.91
2018,2,5,4.43,8.13,4.45,0.7,0.73,0.77,0.16,9.52,78.12
2018,2,6,4.53,8.46,4.53,0.63,0.74,0.79,0.16,9.88,80.41
2018,2,7,4.67,8.87,4.69,0.61,0.76,0.79,0.16,9.99,81.63
2018,2,8,4.63,8.55,4.69,0.67,0.74,0.84,0.17,10.05,81.71
2018,2,9,4.59,8.31,4.64,0.72,0.73,0.9,0.18,10.1,82.12
2018,2,10,3.67,4.28,4.69,1.7,0.58,0.78,0.16,8.56,66.27
2018,2,11,4.84,8.25,4.94,0.79,0.76,0.93,0.19,10.41,83.84
2018,2,12,4.09,5.86,4.93,1.28,0.63,0.84,0.16,9.31,72.38
2018,2,13,4.02,5.55,4.88,1.36,0.62,0.65,0.13,9.09,71.73
2018,2,14,3.31,3.65,4.72,1.58,0.5,0.62,0.12,7.77,60.27
2018,2,15,4.93,8.58,4.96,0.75,0.74,0.87,0.17,10.49,85.67
2018,2,16,5.23,9.72,5.23,0.55,0.78,0.9,0.18,11.32,91
2018,2,17,5.14,9.48,5.14,0.61,0.76,0.93,0.19,11.12,89.91
2018,2,18,5.11,9.24,5.14,0.66,0.75,1.05,0.21,11.42,91.42
2018,2,19,4.26,6.6,5.4,1.35,0.62,0.9,0.18,9.71,75.2
